HI
AHDC1
ANKRD11
ARID1A
ARID1B
ARID2
AUTS2
CHAMP1
CHD2
CHD7
CHD8
CREBBP
CTCF
CTNNB1
DMRT1
DYRK1A
EFTUD2
EHMT1
EP300
FOXG1
FOXP1
GATA2
GATA6
GLI2
GRIN2B
HIVEP2
HNRNPK
KANSL1
KMT2D
MBD5
MED13L
MEF2C
NFIA
NIPBL
OTX2
PAFAH1B1
PURA
RAI1
RERE
SATB2
SCN1A
SCN2A
SETBP1
SETD5
SHANK3
SHH
SIX3
SLC2A1
SOX5
SOX9
STXBP1
SYNGAP1
TCF4
TGIF1
ZEB2
ZIC2
CASK
CDKL5
HCCS
KDM6A
MECP2
PCDH19
WDR45
BMPR1A
BMPR2
CHRNA7
COL11A2
COL1A1
COL2A1
COL5A1
ELN
EYA1
FAS
FBN1
FGF10
FOXC1
FOXC2
FZD4
GATA3
GCH1
HOXD13
IRF6
JAG1
KCNH2
KCNQ1
KCNQ2
KIF11
LHX4
MITF
MNX1
MYCN
NF1
NKX2-5
NOG
NRXN1
NSD1
PAX2
PAX3
PITX2
PTEN
RB1
RET
RPS19
RPS24
RPS26
RUNX2
SALL1
SALL4
SF3B4
SMAD3
SMAD4
SMARCB1
SOX10
SOX2
SPRED1
STK11
TBX1
TBX3
TBX5
TCF12
TCOF1
TRPS1
TSC1
TSC2
WT1
ACSL4
BCOR
DCX
EBP
EFNB1
FLNA
FMR1
GRIA3
LAMP2
NSDHL
OFD1
OTC
PDHA1
PHF6
PLP1
PORCN
SLC6A8
SLC9A6
ADNP
ASH1L
ASXL1
ASXL3
BCL11A
CIC
GATAD2B
KAT6A
KAT6B
KMT2A
KMT2C
MYT1L
NFIX
PBX1
PHIP
POGZ
SETD2
SON
SOX11
TBL1XR1
TBR1
TCF20
TRIP12
WAC
ZBTB18
ZMYND11
ZNF462
